season_year,date,opponent,venue,result,score,notes,competition,coach
2026,2026-08-25,West De Pere,Away,W,3-1,West De Pere High School Soccer Stadium,Non-Conference,Everett
2026,2026-08-27,Marshfield,Home,W,10-0,Wolf River Community Bank Stadium - Akin Field,Non-Conference,Everett
2026,2026-09-01,Neenah,Home,T,3-3,Wolf River Community Bank Stadium - Akin Field,Fox Valley Association,Everett
2026,2026-09-03,Oshkosh North,Away,W,3-2,Multi Purpose Turf Field,Fox Valley Association,Everett
2026,2026-09-08,Appleton East,Home,W,2-1,Wolf River Community Bank Stadium - Akin Field,Fox Valley Association,Everett
2026,2026-09-12,Bay Port,Away,W,6-0,Bay Port High School Stadium,Non-Conference,Everett
2026,2026-09-15,Fond du Lac,Away,W,4-1,Cardinal Stadium,Fox Valley Association,Everett
2026,2026-09-17,Green Bay Preble,Neutral,W,3-1,Cloud Family Field at De Pere High School; multi-team event,Non-Conference,Everett
2026,2026-09-19,De Pere,Neutral,L,2-3,Green Bay Preble High School Stadium; multi-team event,Non-Conference,Everett
2026,2026-09-22,Appleton North,Home,W,5-1,Wolf River Community Bank Stadium - Akin Field,Fox Valley Association,Everett
2026,2026-09-24,Appleton West,Away,W,8-0,Happel Sports Complex,Fox Valley Association,Everett
2026,2026-09-29,Oshkosh West,Home,,,Wolf River Community Bank Stadium - Akin Field,Fox Valley Association,Everett
2026,2026-10-01,Kimberly,Home,,,Wolf River Community Bank Stadium - Akin Field,Fox Valley Association,Everett
2026,2026-10-06,Kaukauna,Away,,,Bank of Kaukauna Stadium,Fox Valley Association,Everett
2026,2026-10-10,DC Everest,Home,,,Wolf River Community Bank Stadium - Akin Field,Non-Conference,Everett
2026,2026-10-13,Notre Dame,Away,,,Notre Dame Academy - Stock Family Stadium,Non-Conference,Everett
